jugadorId,nombre,apellido,seleccionId,posicion,dorsal,fechaNacimiento,altura,peso,club,capitan
PAR-08,Nazario,Cuadrado,PAR,Mediocampista,8,1991-12-17,178,67.3,Huesca FC,false
PAR-06,Heliodoro,Abascal,PAR,Mediocampista,6,2002-10-26,183,69.6,Ceuta CF,false
PAR-22,Óscar,Priego,PAR,Mediocampista,22,2008-01-25,173,64.7,Baleares SC,false
PAR-18,Benjamín,Carreño,PAR,Mediocampista,18,1997-08-22,176,67.6,Valladolid AC,false
PAR-14,Jerónimo,Paredes,PAR,Mediocampista,14,2007-08-06,170,62.3,Zaragoza CF,false
PAR-20,Aníbal,Neira,PAR,Mediocampista,20,1997-03-05,182,68.7,Ceuta SC,false
PAR-24,Juan Carlos,Rebollo,PAR,Mediocampista,24,1998-05-18,174,69.8,Melilla FC,false
PAR-15,Gervasio,Soriano,PAR,Delantero,15,1999-11-30,190,77.9,Guadalajara SC,false
PAR-10,Cristian,Vara,PAR,Delantero,10,1999-03-23,175,63.3,Cáceres AC,false
PAR-19,Vinicio,Arrieta,PAR,Delantero,19,2000-01-14,169,62.6,Guipúzcoa SC,false
PAR-04,Celestino,Escobar,PAR,Delantero,4,1991-12-22,175,68.3,Madrid FC,false
PAR-11,Román,Piquer,PAR,Delantero,11,1991-06-09,179,74.5,Palencia CF,false
URU-13,Ignacio,Márquez,URU,Arquero,13,2006-07-17,192,78.0,Palencia SC,false
URU-20,Pastor,Sanmartín,URU,Arquero,20,1997-08-06,200,90.3,Tarragona SC,false
URU-19,Emiliano,Cerdá,URU,Arquero,19,2005-06-23,191,89.2,Asturias CF,false
URU-23,Casemiro,Gilabert,URU,Defensor,23,1999-10-12,194,90.5,Barcelona FC,false
URU-17,Emigdio,Gimeno,URU,Defensor,17,1993-08-09,192,80.9,Segovia AC,false
URU-10,Calisto,Jove,URU,Defensor,10,1994-10-21,180,75.2,Baleares FC,false
URU-12,Ciro,Antúnez,URU,Defensor,12,1994-09-07,178,76.7,Lugo SC,false
URU-21,Sebastian,Hurtado,URU,Defensor,21,2007-10-12,191,87.4,Girona AC,false
URU-09,Benjamín,Nevado,URU,Defensor,9,1993-05-07,194,90.6,Cáceres FC,false
URU-05,Máximo,Perales,URU,Defensor,5,1991-01-08,186,81.6,Castellón SC,false
URU-04,Víctor,Ortuño,URU,Defensor,4,1998-09-29,181,70.9,Burgos CF,false
URU-07,Calisto,Ariza,URU,Mediocampista,7,2000-03-10,178,75.1,Segovia FC,false
URU-22,Severiano,Lucena,URU,Mediocampista,22,1993-04-07,182,78.6,Burgos FC,false
URU-06,Mateo,Oliveras,URU,Mediocampista,6,2002-02-01,187,82.6,Valencia FC,false
URU-02,Che,Abellán,URU,Mediocampista,2,2005-04-05,174,71.1,Ávila FC,false
URU-08,Emiliano,Avilés,URU,Mediocampista,8,2006-06-23,184,69.9,Burgos AC,true
URU-11,Enrique,Benavides,URU,Mediocampista,11,2005-04-11,178,67.2,Cádiz CF,false
URU-14,Sancho,Benito,URU,Mediocampista,14,1990-04-25,176,64.2,Girona FC,false
URU-18,Goyo,Araujo,URU,Mediocampista,18,1992-11-25,187,72.7,Guipúzcoa FC,false
URU-15,Marcelo,Badía,URU,Delantero,15,2005-03-01,186,76.2,Jaén FC,false
URU-03,Salomón,Pérez,URU,Delantero,3,2007-05-24,187,83.2,Ciudad FC,false
URU-16,Nico,Moreno,URU,Delantero,16,2007-01-07,184,78.3,Ciudad FC,false
URU-01,Wilfredo,Zabala,URU,Delantero,1,1993-06-15,175,68.6,Ceuta FC,false
URU-24,Jonatan,Alberdi,URU,Delantero,24,2007-03-06,171,67.1,Valencia FC,false
ESP-04,Bruno,Jordán,ESP,Arquero,4,2002-04-29,199,84.9,Cuenca CF,false
ESP-01,Camilo,Quesada,ESP,Arquero,1,1996-08-29,189,76.1,Málaga CF,false
ESP-07,Lope,Galvez,ESP,Arquero,7,2008-05-12,189,81.4,Navarra FC,false
ESP-02,Loreto,Nicolás,ESP,Defensor,2,1992-10-28,185,79.8,Tarragona CF,false
ESP-06,Ciríaco,Cabanillas,ESP,Defensor,6,2001-02-27,178,73.8,Asturias SC,false
ESP-15,Ildefonso,Alvarez,ESP,Defensor,15,1992-01-20,186,81.0,Cáceres AC,false
ESP-21,Santos,Ramis,ESP,Defensor,21,2002-12-23,194,77.2,Cantabria AC,true
ESP-05,Carmelo,Huertas,ESP,Defensor,5,1989-10-16,179,68.4,La Coruña SC,false
ESP-19,Osvaldo,Alcalá,ESP,Defensor,19,2004-08-01,192,82.5,Toledo FC,false
ESP-13,Javier,Ferrando,ESP,Defensor,13,1998-10-21,194,87.1,Valencia FC,false
ESP-23,Iker,Palma,ESP,Defensor,23,1996-03-29,188,85.6,Lleida FC,false
ESP-16,Goyo,Morata,ESP,Mediocampista,16,2003-08-22,172,64.8,Valladolid FC,false
ESP-12,Eugenio,Arteaga,ESP,Mediocampista,12,2001-09-26,187,81.6,La Rioja CF,false
ESP-17,Wilfredo,Andrés,ESP,Mediocampista,17,1992-07-13,183,80.3,Ourense FC,false
ESP-20,Lázaro,Mendizábal,ESP,Mediocampista,20,1995-04-23,183,72.7,Tarragona SC,false
ESP-11,Lorenzo,Pedrosa,ESP,Mediocampista,11,1995-07-23,176,64.2,Vizcaya AC,false
ESP-22,Victor,Barragán,ESP,Mediocampista,22,1999-01-11,172,66.3,Guadalajara SC,false
ESP-09,Ariel,Duque,ESP,Mediocampista,9,2001-11-24,174,69.0,Murcia AC,false
ESP-10,Pánfilo,Oliveras,ESP,Mediocampista,10,1994-11-11,173,62.5,Baleares FC,false
ESP-08,Martin,Lerma,ESP,Delantero,8,2004-09-26,177,67.2,Guipúzcoa CF,false
ESP-18,Albino,Malo,ESP,Delantero,18,1991-08-12,169,63.8,Segovia FC,false
ESP-03,Evaristo,Almeida,ESP,Delantero,3,2003-10-28,177,65.6,Zaragoza CF,false
ESP-14,Juan Carlos,Agudo,ESP,Delantero,14,1993-04-08,174,70.9,Badajoz SC,false
ESP-24,Lucas,Santamaría,ESP,Delantero,24,1992-03-12,168,68.8,Alicante AC,false
POR-19,Alonso,Mulet,POR,Arquero,19,1996-09-16,195,79.8,Las Palmas FC,false
POR-05,Telmo,Tormo,POR,Arquero,5,1996-06-27,192,86.8,Valencia CF,false
POR-10,Calixto,Carranza,POR,Arquero,10,2003-09-19,199,91.5,Cádiz SC,false
POR-09,Fernando,Mármol,POR,Defensor,9,1998-11-09,194,78.1,Lugo AC,false
POR-08,Pastor,Bravo,POR,Defensor,8,1991-11-05,193,77.5,Melilla SC,false
POR-13,Baltasar,Berenguer,POR,Defensor,13,2001-06-19,194,84.3,Albacete CF,false
POR-20,Marc,Baquero,POR,Defensor,20,2004-11-27,192,84.5,Burgos AC,false
POR-01,Felipe,Flor,POR,Defensor,1,1994-03-06,181,78.8,La Coruña CF,false
POR-07,Modesto,Lara,POR,Defensor,7,2005-04-27,189,79.9,Teruel AC,false
POR-06,Damián,Pozo,POR,Defensor,6,1993-12-17,188,79.6,Málaga CF,false
POR-14,Eligio,Gutiérrez,POR,Defensor,14,1991-05-25,195,91.6,Álava CF,false
POR-03,Bartolomé,Morata,POR,Mediocampista,3,1993-04-07,175,69.5,Albacete FC,false
POR-18,Dionisio,Llanos,POR,Mediocampista,18,1990-05-21,183,73.2,Castellón SC,false
POR-15,Severo,Pujol,POR,Mediocampista,15,1989-11-03,175,65.0,Valladolid AC,true
POR-02,Jenaro,Aragonés,POR,Mediocampista,2,1995-07-01,172,61.1,Santa Cruz de Tenerife AC,false
POR-16,Carlito,Figuerola,POR,Mediocampista,16,2002-03-09,183,76.4,La Coruña CF,false
POR-24,Pastor,Blazquez,POR,Mediocampista,24,2008-06-05,183,77.0,Soria AC,false
POR-23,Florentino,Arias,POR,Mediocampista,23,1998-11-04,188,78.3,Álava AC,false
POR-12,Paulino,Cases,POR,Mediocampista,12,1990-06-06,183,77.9,Salamanca FC,false
POR-22,Virgilio,Armas,POR,Delantero,22,1990-04-20,176,65.2,Cádiz SC,false
POR-21,Lucas,Zabala,POR,Delantero,21,1991-02-20,170,65.4,Badajoz CF,false
POR-04,Hector,Gabaldón,POR,Delantero,4,1993-08-05,175,65.6,Alicante CF,false
POR-17,Faustino,Gallardo,POR,Delantero,17,1998-03-30,174,62.3,Santa Cruz de Tenerife SC,false
POR-11,Duilio,Aller,POR,Delantero,11,1989-12-10,186,74.0,Toledo SC,false
MAR-11,Baldomero,Feijoo,MAR,Arquero,11,1994-09-04,187,83.1,Guipúzcoa SC,false
MAR-10,Federico,Galan,MAR,Arquero,10,1992-03-14,191,88.1,Cuenca AC,false
MAR-24,David,Boada,MAR,Arquero,24,1991-06-29,198,95.9,Salamanca SC,false
MAR-12,Cándido,Raya,MAR,Defensor,12,1998-10-04,181,69.1,Ciudad CF,false
MAR-02,Alejandro,Bernad,MAR,Defensor,2,1992-03-17,179,72.7,Valladolid CF,false
MAR-16,Bernabé,Viña,MAR,Defensor,16,1991-12-10,184,79.0,Segovia SC,true
MAR-07,Ernesto,Pedro,MAR,Defensor,7,1994-12-01,183,70.7,Cantabria SC,false
MAR-06,José Antonio,Villaverde,MAR,Defensor,6,1990-09-02,179,76.4,La Coruña CF,false
MAR-18,Marcelino,Azorin,MAR,Defensor,18,1991-02-27,178,66.7,Badajoz SC,false
MAR-22,Roldán,Moya,MAR,Defensor,22,1993-02-15,186,71.6,Granada CF,false
MAR-08,Alex,Moles,MAR,Defensor,8,2001-05-29,186,78.6,Salamanca SC,false
MAR-14,Anselmo,Campillo,MAR,Mediocampista,14,1995-07-02,175,63.2,Guadalajara FC,false
MAR-13,Reyes,Cañete,MAR,Mediocampista,13,1995-05-16,181,78.8,Ávila CF,false
MAR-19,Cebrián,Jove,MAR,Mediocampista,19,2004-08-19,174,66.7,Melilla AC,false
MAR-03,Wálter,Larrañaga,MAR,Mediocampista,3,1998-09-17,180,77.0,Soria FC,false
MAR-15,Abel,Toro,MAR,Mediocampista,15,2002-09-01,178,69.9,Guadalajara AC,false
MAR-20,Diego,Ramos,MAR,Mediocampista,20,2002-10-14,171,62.8,Madrid AC,false
MAR-04,Cleto,Álamo,MAR,Mediocampista,4,2007-10-06,180,69.9,Soria CF,false
MAR-01,Zacarías,Cuadrado,MAR,Mediocampista,1,1989-09-15,186,72.6,Ciudad SC,false
MAR-23,Marcelino,Lillo,MAR,Delantero,23,1991-04-24,183,68.8,Toledo CF,false
MAR-05,Onofre,Cabeza,MAR,Delantero,5,2007-12-14,190,83.5,Pontevedra SC,false
MAR-17,Clemente,Caballero,MAR,Delantero,17,1995-10-09,181,78.0,Guipúzcoa SC,false
MAR-09,Javier,Codina,MAR,Delantero,9,1989-09-14,179,78.0,Murcia AC,false
MAR-21,Bonifacio,Girona,MAR,Delantero,21,2002-03-20,174,73.2,Santa Cruz de Tenerife AC,false
BRA-05,Alfonso,Nicolau,BRA,Arquero,5,1998-02-23,185,79.7,Lugo CF,false
BRA-20,Juan Francisco,Hernando,BRA,Arquero,20,2007-03-27,200,95.1,Santa Cruz de Tenerife AC,false
BRA-12,Toribio,Marco,BRA,Arquero,12,2006-02-13,195,88.5,Valladolid AC,false
BRA-04,Basilio,Carbonell,BRA,Defensor,4,2001-11-25,193,89.4,Baleares CF,false
BRA-09,Cesar,Ramírez,BRA,Defensor,9,1993-08-16,184,79.4,Córdoba AC,false
BRA-08,Gilberto,Diaz,BRA,Defensor,8,2005-12-25,189,80.9,Segovia AC,false
BRA-10,Omar,Linares,BRA,Defensor,10,2001-09-18,190,84.2,Almería SC,true
BRA-13,Pascual,Colomer,BRA,Defensor,13,1996-10-12,190,87.1,Pontevedra SC,false
BRA-14,Bautista,Márquez,BRA,Defensor,14,2005-12-02,179,72.5,Ceuta SC,false
BRA-16,Chucho,Pera,BRA,Defensor,16,2002-12-23,191,77.0,Málaga FC,false
BRA-21,Donato,Palmer,BRA,Defensor,21,1995-09-27,180,77.1,Teruel SC,false
BRA-03,Sebastian,Segovia,BRA,Mediocampista,3,2005-01-13,178,72.4,Valladolid SC,false
BRA-15,Roberto,Sebastián,BRA,Mediocampista,15,2004-12-23,174,70.5,Cuenca SC,false
BRA-01,Juanito,Simó,BRA,Mediocampista,1,2000-11-09,183,78.9,Alicante FC,false
BRA-02,José María,Roda,BRA,Mediocampista,2,2006-02-28,178,69.0,Asturias FC,false
BRA-17,Alonso,Caparrós,BRA,Mediocampista,17,2000-11-30,175,70.6,Burgos SC,false
BRA-23,Santos,Ávila,BRA,Mediocampista,23,1998-12-30,186,81.0,Huesca CF,false
BRA-22,Alejandro,Exposito,BRA,Mediocampista,22,1998-12-30,173,70.8,Ceuta SC,false
BRA-24,Bernardo,Maestre,BRA,Mediocampista,24,2005-02-19,186,73.0,Cádiz FC,false
BRA-06,Rico,Estévez,BRA,Delantero,6,1995-06-06,170,59.6,Ceuta SC,false
BRA-18,Martín,Granados,BRA,Delantero,18,1993-08-03,181,75.6,Álava CF,false
BRA-11,Teófilo,Neira,BRA,Delantero,11,2004-08-19,177,64.5,Valencia CF,false
BRA-07,Pablo,Boix,BRA,Delantero,7,2002-11-23,188,79.8,Ourense CF,false
BRA-19,Ramiro,Alcalde,BRA,Delantero,19,1993-03-27,171,61.5,Granada AC,false
FRA-01,Leonel,Antón,FRA,Arquero,1,2003-12-06,200,83.8,Cuenca FC,false
FRA-13,Dani,Boada,FRA,Arquero,13,1994-03-26,186,78.2,La Rioja FC,false
FRA-19,Ibán,Moles,FRA,Arquero,19,2004-10-02,187,84.5,Granada FC,true
FRA-15,Teo,Canals,FRA,Defensor,15,2004-08-01,179,75.5,Zaragoza SC,false
FRA-07,Tadeo,Narváez,FRA,Defensor,7,1999-07-30,182,71.0,Barcelona SC,false
FRA-04,Víctor,Pomares,FRA,Defensor,4,2000-10-06,184,72.9,Las Palmas SC,false
FRA-09,Fulgencio,Villena,FRA,Defensor,9,2003-08-18,188,82.6,Segovia CF,false
FRA-18,Arturo,Herrero,FRA,Defensor,18,1994-11-16,185,79.2,Valladolid SC,false
FRA-20,Reinaldo,Teruel,FRA,Defensor,20,1992-05-06,194,78.5,Málaga SC,false
FRA-03,Cosme,Marti,FRA,Defensor,3,2008-07-10,185,83.7,Almería FC,false
FRA-06,Tito,Leal,FRA,Defensor,6,1994-03-28,184,75.8,Toledo SC,false
FRA-08,Felix,Viana,FRA,Mediocampista,8,1997-05-15,186,79.4,Navarra FC,false
FRA-16,Adán,Llanos,FRA,Mediocampista,16,1991-08-09,171,70.2,Murcia CF,false
FRA-17,Bonifacio,Enríquez,FRA,Mediocampista,17,2002-10-23,178,69.9,Toledo FC,false
FRA-10,Matías,Ferrán,FRA,Mediocampista,10,2008-04-14,172,70.5,Soria AC,false
FRA-22,Quirino,Trujillo,FRA,Mediocampista,22,1999-11-09,176,72.9,Ciudad AC,false
FRA-21,Asdrubal,Nieto,FRA,Mediocampista,21,2002-02-16,171,71.2,Soria AC,false
FRA-05,Tito,Otero,FRA,Mediocampista,5,2000-06-16,174,64.5,Huelva SC,false
FRA-11,Alfredo,Galindo,FRA,Mediocampista,11,1999-06-26,182,81.0,Alicante FC,false
FRA-23,Wilfredo,Calvet,FRA,Delantero,23,1992-05-14,169,68.2,Pontevedra AC,false
FRA-24,Donato,Valenzuela,FRA,Delantero,24,2002-07-19,188,77.2,Cantabria FC,false
FRA-12,Cristóbal,Blanes,FRA,Delantero,12,2006-06-20,186,84.0,Valencia CF,false
FRA-02,Nazaret,Marquez,FRA,Delantero,2,1995-10-25,168,58.3,Madrid CF,false
FRA-14,Bonifacio,Donaire,FRA,Delantero,14,2006-06-22,169,65.5,Granada FC,false
ENG-24,Emigdio,Ojeda,ENG,Arquero,24,1993-11-19,193,76.8,Lugo CF,false
ENG-22,Juan José,Casares,ENG,Arquero,22,1998-02-05,188,77.2,Málaga SC,false
ENG-21,Juan Pablo,Jerez,ENG,Arquero,21,2008-07-29,191,81.6,Cantabria FC,false
ENG-02,Andrés,Bayona,ENG,Defensor,2,1999-04-25,186,74.1,Vizcaya SC,false
ENG-14,Luís,Viñas,ENG,Defensor,14,1997-06-19,193,80.9,Albacete AC,false
ENG-09,Anacleto,Bermejo,ENG,Defensor,9,1993-02-22,188,85.9,Soria CF,false
ENG-11,Berto,Miró,ENG,Defensor,11,1990-09-27,179,66.7,Alicante FC,false
ENG-15,Haroldo,Barceló,ENG,Defensor,15,2004-09-17,183,70.3,Almería FC,false
ENG-23,Gerónimo,Casares,ENG,Defensor,23,2001-01-23,186,79.4,León SC,false
ENG-08,Augusto,Anaya,ENG,Defensor,8,2000-06-23,191,77.5,Tarragona FC,false
ENG-01,Salvador,Coll,ENG,Defensor,1,2007-11-18,190,75.1,Alicante FC,false
ENG-13,Valentín,Morera,ENG,Mediocampista,13,1992-03-02,174,73.7,Ceuta CF,false
ENG-20,Lázaro,Castell,ENG,Mediocampista,20,2005-06-25,181,77.3,Huelva SC,false
ENG-16,Virgilio,Medina,ENG,Mediocampista,16,1990-05-28,181,71.1,Málaga FC,true
ENG-18,Kike,Dalmau,ENG,Mediocampista,18,2005-08-05,180,74.1,Ávila SC,false
ENG-07,Salomón,Montes,ENG,Mediocampista,7,1991-02-06,172,68.3,Navarra AC,false
ENG-04,Andrés Felipe,Bilbao,ENG,Mediocampista,4,1993-10-24,180,70.3,Castellón CF,false
ENG-12,Eligio,Barroso,ENG,Mediocampista,12,2004-03-04,183,69.8,Ourense CF,false
ENG-17,Hugo,Barrio,ENG,Mediocampista,17,2003-12-11,178,76.8,Ávila AC,false
ENG-19,Anselmo,Macias,ENG,Delantero,19,2001-01-14,180,78.2,Jaén CF,false
ENG-05,Horacio,Guijarro,ENG,Delantero,5,1993-04-12,189,83.0,Huesca FC,false
ENG-03,Onofre,Escamilla,ENG,Delantero,3,2003-11-13,186,82.8,Álava FC,false
ENG-06,Juan Manuel,Cuevas,ENG,Delantero,6,2006-12-27,178,73.7,Barcelona CF,false
ENG-10,Epifanio,Calvet,ENG,Delantero,10,2000-04-27,188,78.2,Barcelona AC,false
GER-15,Álvaro,Segura,GER,Arquero,15,1992-09-30,195,78.0,Ourense AC,false
GER-19,Patricio,Madrid,GER,Arquero,19,1998-02-18,189,81.5,Guipúzcoa FC,false
GER-12,Silvestre,Huguet,GER,Arquero,12,1990-08-11,189,82.6,Segovia CF,false
GER-09,Néstor,Jiménez,GER,Defensor,9,2001-01-11,190,87.2,Málaga AC,false
GER-21,Pancho,Peiró,GER,Defensor,21,2008-06-22,179,70.0,Zamora AC,false
GER-03,Iván,Nevado,GER,Defensor,3,2008-02-09,181,74.0,Asturias CF,false
GER-08,Isaac,Campos,GER,Defensor,8,1994-11-28,181,79.2,Alicante SC,false
GER-11,Victor Manuel,Velasco,GER,Defensor,11,2006-06-24,193,87.8,Álava AC,false
GER-18,Rosario,Pelayo,GER,Defensor,18,1994-01-12,181,75.4,Madrid FC,false
GER-22,Toribio,García,GER,Defensor,22,1991-12-04,188,74.2,La Rioja FC,false
GER-20,Custodio,Manso,GER,Defensor,20,1998-02-17,183,74.1,Navarra SC,false
GER-23,Natalio,Vicens,GER,Mediocampista,23,1990-01-24,181,72.0,Cáceres AC,false
GER-05,Buenaventura,Rojas,GER,Mediocampista,5,2006-02-28,187,81.3,Álava SC,false
GER-02,Leandro,Mena,GER,Mediocampista,2,1999-06-30,177,65.0,Ceuta FC,true
GER-04,Juan Luis,Jerez,GER,Mediocampista,4,1994-05-22,174,62.4,Girona SC,false
GER-10,Yago,Orozco,GER,Mediocampista,10,2002-08-17,173,72.3,La Coruña FC,false
GER-06,Moreno,Bertrán,GER,Mediocampista,6,1998-11-01,177,73.0,Guipúzcoa CF,false
GER-14,Régulo,Acuña,GER,Mediocampista,14,2005-04-03,181,73.5,Lugo SC,false
GER-01,Gaspar,Sabater,GER,Mediocampista,1,1993-10-24,177,76.0,Tarragona SC,false
GER-13,Severo,Morante,GER,Delantero,13,1999-01-27,184,70.5,Soria AC,false
GER-17,Quirino,Martinez,GER,Delantero,17,1993-10-27,182,76.1,Badajoz AC,false
GER-07,Remigio,Salgado,GER,Delantero,7,2007-05-24,175,66.1,Huelva AC,false
GER-24,Graciano,Viana,GER,Delantero,24,2004-06-18,188,76.3,Almería FC,false
GER-16,Victorino,Franch,GER,Delantero,16,2002-02-04,189,80.5,Lleida AC,false
ITA-24,Leonardo,Pablo,ITA,Arquero,24,1996-07-07,189,77.3,Girona CF,false
ITA-15,Reynaldo,León,ITA,Arquero,15,1993-11-14,194,80.8,Melilla CF,false
ITA-23,Toño,Torrents,ITA,Arquero,23,2008-05-17,190,77.3,Cádiz SC,false
ITA-21,Ernesto,Frías,ITA,Defensor,21,1997-08-30,185,71.0,Lleida FC,false
ITA-14,Gustavo,Palacio,ITA,Defensor,14,2004-11-20,180,77.5,Murcia SC,false
ITA-11,Marciano,Córdoba,ITA,Defensor,11,2004-11-05,182,77.8,Cuenca FC,false
ITA-18,Roldán,Marqués,ITA,Defensor,18,1999-05-05,180,73.1,Cuenca CF,false
ITA-06,Cristóbal,Miranda,ITA,Defensor,6,1995-01-24,179,75.2,Granada FC,false
ITA-16,Demetrio,Infante,ITA,Defensor,16,2008-05-05,179,69.7,Madrid SC,false
ITA-13,Fortunato,Sotelo,ITA,Defensor,13,1995-02-04,195,78.4,Lugo SC,false
ITA-12,Teodosio,Sainz,ITA,Defensor,12,2003-09-12,185,78.4,Burgos FC,false
ITA-09,Osvaldo,Merino,ITA,Mediocampista,9,2005-05-12,173,66.3,Castellón AC,false
ITA-17,Emigdio,Seguí,ITA,Mediocampista,17,1999-05-13,180,68.8,Málaga SC,false
ITA-01,Paulino,Sedano,ITA,Mediocampista,1,1992-10-30,187,83.5,Palencia SC,false
ITA-08,Erasmo,Folch,ITA,Mediocampista,8,1993-12-03,186,73.1,Málaga SC,false
ITA-05,Nico,Gomez,ITA,Mediocampista,5,2002-02-04,173,71.9,Badajoz FC,false
ITA-10,Abilio,Solera,ITA,Mediocampista,10,1996-09-01,182,68.5,Asturias SC,false
ITA-04,José María,Trillo,ITA,Mediocampista,4,2005-07-27,181,74.0,Melilla SC,false
ITA-20,Moreno,Jara,ITA,Mediocampista,20,2004-05-11,178,76.7,Ceuta CF,false
ITA-02,Toribio,Puente,ITA,Delantero,2,2000-03-13,170,69.1,Cáceres CF,false
ITA-19,Modesto,Sáenz,ITA,Delantero,19,1997-09-03,169,67.1,Murcia AC,true
ITA-03,Martín,Marti,ITA,Delantero,3,2001-02-01,184,82.8,Álava CF,false
ITA-07,Humberto,Riera,ITA,Delantero,7,2003-10-28,188,76.6,Málaga FC,false
ITA-22,Máximo,Sevillano,ITA,Delantero,22,1990-06-15,175,66.1,Santa Cruz de Tenerife SC,false
NED-15,Alfredo,Marin,NED,Arquero,15,2006-04-14,200,90.1,Pontevedra CF,false
NED-14,Mario,Ramis,NED,Arquero,14,1998-05-04,188,80.6,Alicante SC,false
NED-20,Poncio,Almagro,NED,Arquero,20,1989-09-23,196,78.9,Baleares FC,false
NED-08,Luís,Pedro,NED,Defensor,8,1996-09-30,184,71.4,León CF,false
NED-12,Arturo,Ponce,NED,Defensor,12,2002-08-07,181,69.2,Barcelona AC,false
NED-06,David,Ferrer,NED,Defensor,6,1994-04-30,185,83.6,Lleida CF,false
NED-07,Aitor,Yuste,NED,Defensor,7,2006-08-29,184,81.4,Girona CF,false
NED-21,Mohamed,Fortuny,NED,Defensor,21,2003-02-02,180,73.2,Ávila CF,false
NED-23,Nicanor,Báez,NED,Defensor,23,2006-05-29,188,76.7,Cáceres SC,false
NED-19,Ambrosio,Mayo,NED,Defensor,19,2004-06-21,180,72.8,Lleida CF,false
NED-09,Jafet,Manuel,NED,Defensor,9,1992-10-31,183,77.9,Santa Cruz de Tenerife FC,false
NED-02,Abilio,Piquer,NED,Mediocampista,2,2002-10-03,179,68.5,Ciudad SC,false
NED-10,Jose Antonio,Mayoral,NED,Mediocampista,10,1990-11-05,181,67.6,Huelva AC,false
