eventoId,partidoId,jugadorId,seleccionId,tipo,minuto,detalle
EV-F2030-027-03,F2030-027,HUN-09,HUN,gol,5,Gol en jugada
EV-F2030-027-08,F2030-027,HUN-03,HUN,tarjeta_amarilla,6,Infracción táctica
EV-F2030-027-05,F2030-027,ROU-11,ROU,gol,27,Gol en jugada
EV-F2030-027-01,F2030-027,HUN-03,HUN,penal_convertido,32,Gol de penal
EV-F2030-027-07,F2030-027,HUN-06,HUN,tarjeta_amarilla,36,Infracción táctica
EV-F2030-027-04,F2030-027,HUN-06,HUN,gol,48,Gol en jugada
EV-F2030-027-06,F2030-027,ROU-05,ROU,gol,75,Gol en jugada
EV-F2030-027-02,F2030-027,HUN-08,HUN,gol,77,Gol en jugada
EV-F2030-028-04,F2030-028,WAL-07,WAL,tarjeta_amarilla,3,Infracción táctica
EV-F2030-028-02,F2030-028,SCO-04,SCO,tarjeta_amarilla,28,Infracción táctica
EV-F2030-028-01,F2030-028,WAL-03,WAL,gol,48,Gol en jugada
EV-F2030-028-03,F2030-028,SCO-01,SCO,tarjeta_amarilla,57,Infracción táctica
EV-F2030-029-02,F2030-029,BOL-08,BOL,tarjeta_amarilla,38,Infracción táctica
EV-F2030-029-01,F2030-029,BOL-13,BOL,gol,40,Gol en jugada
EV-F2030-030-03,F2030-030,TUR-01,TUR,tarjeta_amarilla,18,Infracción táctica
EV-F2030-030-02,F2030-030,VEN-06,VEN,gol,23,Gol en jugada
EV-F2030-030-04,F2030-030,VEN-01,VEN,tarjeta_amarilla,45,Infracción táctica
EV-F2030-030-01,F2030-030,TUR-18,TUR,gol,82,Gol en jugada
EV-F2030-030-05,F2030-030,VEN-21,VEN,tarjeta_amarilla,84,Infracción táctica
EV-F2030-031-01,F2030-031,CIW-04,CIW,penal_convertido,19,Gol de penal
EV-F2030-031-06,F2030-031,CIW-07,CIW,tarjeta_roja,39,Expulsión
EV-F2030-031-05,F2030-031,HAI-04,HAI,tarjeta_amarilla,42,Infracción táctica
EV-F2030-031-07,F2030-031,CIW-08,CIW,tarjeta_amarilla,57,Infracción táctica
EV-F2030-031-03,F2030-031,HAI-03,HAI,tarjeta_amarilla,71,Infracción táctica
EV-F2030-031-04,F2030-031,HAI-20,HAI,tarjeta_amarilla,74,Infracción táctica
EV-F2030-031-02,F2030-031,CIW-06,CIW,gol,82,Gol en jugada
EV-F2030-032-07,F2030-032,VIE-22,VIE,tarjeta_amarilla,14,Infracción táctica
EV-F2030-032-02,F2030-032,VIE-19,VIE,penal_convertido,26,Gol de penal
EV-F2030-032-03,F2030-032,VIE-08,VIE,gol,26,Gol en jugada
EV-F2030-032-06,F2030-032,VIE-13,VIE,tarjeta_amarilla,37,Infracción táctica
EV-F2030-032-04,F2030-032,IND-06,IND,tarjeta_amarilla,42,Infracción táctica
EV-F2030-032-08,F2030-032,VIE-08,VIE,tarjeta_amarilla,46,Infracción táctica
EV-F2030-032-01,F2030-032,IND-19,IND,gol,49,Gol en jugada
EV-F2030-032-05,F2030-032,IND-16,IND,tarjeta_amarilla,68,Infracción táctica
EV-F2030-033-04,F2030-033,ESP-11,ESP,gol,27,Gol en jugada
EV-F2030-033-07,F2030-033,PAR-20,PAR,tarjeta_amarilla,52,Infracción táctica
EV-F2030-033-08,F2030-033,PAR-01,PAR,tarjeta_amarilla,57,Infracción táctica
EV-F2030-033-02,F2030-033,ESP-13,ESP,gol,62,Gol en jugada
EV-F2030-033-06,F2030-033,ESP-05,ESP,tarjeta_amarilla,64,Infracción táctica
EV-F2030-033-05,F2030-033,PAR-04,PAR,gol,67,Gol en jugada
EV-F2030-033-01,F2030-033,ESP-13,ESP,gol,78,Gol en jugada
EV-F2030-033-03,F2030-033,ESP-03,ESP,gol,80,Gol en jugada
EV-F2030-034-02,F2030-034,MAR-05,MAR,gol,20,Gol en jugada
EV-F2030-034-05,F2030-034,MAR-21,MAR,tarjeta_roja,29,Expulsión
EV-F2030-034-01,F2030-034,MAR-23,MAR,gol,46,Gol en jugada
EV-F2030-034-06,F2030-034,MAR-08,MAR,tarjeta_amarilla,65,Infracción táctica
EV-F2030-034-04,F2030-034,MAR-09,MAR,tarjeta_amarilla,75,Infracción táctica
EV-F2030-034-03,F2030-034,BRA-03,BRA,tarjeta_amarilla,84,Infracción táctica
EV-F2030-035-06,F2030-035,POR-04,POR,gol,33,Gol en jugada
EV-F2030-035-02,F2030-035,POR-04,POR,gol,48,Gol en jugada
EV-F2030-035-03,F2030-035,POR-03,POR,gol,55,Gol en jugada
EV-F2030-035-04,F2030-035,POR-17,POR,gol,66,Gol en jugada
EV-F2030-035-05,F2030-035,POR-11,POR,gol,67,Gol en jugada
EV-F2030-035-01,F2030-035,FRA-23,FRA,gol,71,Gol en jugada
EV-F2030-035-07,F2030-035,POR-18,POR,tarjeta_amarilla,76,Infracción táctica
EV-F2030-036-05,F2030-036,ENG-08,ENG,tarjeta_amarilla,6,Infracción táctica
EV-F2030-036-06,F2030-036,GER-04,GER,tarjeta_amarilla,24,Infracción táctica
EV-F2030-036-03,F2030-036,GER-04,GER,gol,51,Gol en jugada
EV-F2030-036-01,F2030-036,GER-17,GER,gol,54,Gol en jugada
EV-F2030-036-04,F2030-036,ENG-16,ENG,tarjeta_amarilla,59,Infracción táctica
EV-F2030-036-07,F2030-036,GER-09,GER,tarjeta_amarilla,59,Infracción táctica
EV-F2030-036-02,F2030-036,GER-01,GER,gol,61,Gol en jugada
EV-F2030-037-02,F2030-037,NED-09,NED,penal_convertido,3,Gol de penal
EV-F2030-037-06,F2030-037,ITA-22,ITA,gol,27,Gol en jugada
EV-F2030-037-03,F2030-037,NED-16,NED,penal_convertido,41,Gol de penal
EV-F2030-037-04,F2030-037,ITA-20,ITA,gol,57,Gol en jugada
EV-F2030-037-07,F2030-037,NED-07,NED,tarjeta_amarilla,59,Infracción táctica
EV-F2030-037-01,F2030-037,NED-03,NED,gol,84,Gol en jugada
EV-F2030-037-05,F2030-037,ITA-19,ITA,penal_convertido,87,Gol de penal
EV-F2030-038-10,F2030-038,COL-14,COL,tarjeta_amarilla,6,Infracción táctica
EV-F2030-038-04,F2030-038,COL-17,COL,gol,8,Gol en jugada
EV-F2030-038-02,F2030-038,BEL-19,BEL,gol,12,Gol en jugada
EV-F2030-038-05,F2030-038,COL-06,COL,gol,22,Gol en jugada
EV-F2030-038-06,F2030-038,BEL-08,BEL,tarjeta_amarilla,38,Infracción táctica
EV-F2030-038-09,F2030-038,COL-16,COL,tarjeta_amarilla,46,Infracción táctica
EV-F2030-038-07,F2030-038,BEL-06,BEL,tarjeta_amarilla,49,Infracción táctica
EV-F2030-038-08,F2030-038,BEL-12,BEL,tarjeta_roja,62,Expulsión
EV-F2030-038-01,F2030-038,BEL-01,BEL,gol,83,Gol en jugada
EV-F2030-038-03,F2030-038,COL-09,COL,gol,85,Gol en jugada
EV-F2030-039-04,F2030-039,CRO-03,CRO,tarjeta_amarilla,7,Infracción táctica
EV-F2030-039-02,F2030-039,CRO-03,CRO,tarjeta_roja,25,Expulsión
EV-F2030-039-03,F2030-039,CRO-07,CRO,tarjeta_amarilla,64,Infracción táctica
EV-F2030-039-01,F2030-039,USA-11,USA,gol,68,Gol en jugada
EV-F2030-040-03,F2030-040,SEN-01,SEN,gol,24,Gol en jugada
EV-F2030-040-05,F2030-040,JPN-06,JPN,tarjeta_amarilla,39,Infracción táctica
EV-F2030-040-02,F2030-040,JPN-08,JPN,gol,53,Gol en jugada
EV-F2030-040-04,F2030-040,JPN-15,JPN,tarjeta_amarilla,57,Infracción táctica
EV-F2030-040-01,F2030-040,JPN-23,JPN,gol,70,Gol en jugada
EV-F2030-040-07,F2030-040,SEN-21,SEN,tarjeta_roja,71,Expulsión
EV-F2030-040-08,F2030-040,SEN-22,SEN,tarjeta_amarilla,71,Infracción táctica
EV-F2030-040-06,F2030-040,SEN-03,SEN,tarjeta_amarilla,76,Infracción táctica
EV-F2030-041-02,F2030-041,MEX-16,MEX,gol,12,Gol en jugada
EV-F2030-041-04,F2030-041,KOR-06,KOR,gol,34,Gol en jugada
EV-F2030-041-06,F2030-041,KOR-11,KOR,tarjeta_amarilla,41,Infracción táctica
EV-F2030-041-03,F2030-041,KOR-14,KOR,gol,50,Gol en jugada
EV-F2030-041-05,F2030-041,MEX-03,MEX,tarjeta_amarilla,52,Infracción táctica
EV-F2030-041-01,F2030-041,MEX-18,MEX,penal_convertido,76,Gol de penal
EV-F2030-041-07,F2030-041,KOR-10,KOR,tarjeta_roja,84,Expulsión
EV-F2030-042-03,F2030-042,DEN-16,DEN,gol,7,Gol en jugada
EV-F2030-042-01,F2030-042,DEN-10,DEN,penal_convertido,16,Gol de penal
EV-F2030-042-08,F2030-042,DEN-08,DEN,tarjeta_amarilla,20,Infracción táctica
EV-F2030-042-06,F2030-042,POL-23,POL,gol,21,Gol en jugada
EV-F2030-042-04,F2030-042,POL-05,POL,gol,41,Gol en jugada
EV-F2030-042-07,F2030-042,POL-01,POL,gol,47,Gol en jugada
EV-F2030-042-09,F2030-042,DEN-17,DEN,tarjeta_amarilla,57,Infracción táctica
EV-F2030-042-05,F2030-042,POL-16,POL,gol,68,Gol en jugada
EV-F2030-042-02,F2030-042,DEN-22,DEN,gol,75,Gol en jugada
EV-F2030-043-02,F2030-043,SUI-10,SUI,tarjeta_amarilla,24,Infracción táctica
EV-F2030-043-05,F2030-043,AUT-16,AUT,tarjeta_roja,25,Expulsión
EV-F2030-043-04,F2030-043,SUI-02,SUI,tarjeta_amarilla,33,Infracción táctica
EV-F2030-043-01,F2030-043,SUI-09,SUI,gol,48,Gol en jugada
EV-F2030-043-03,F2030-043,SUI-07,SUI,tarjeta_amarilla,64,Infracción táctica
EV-F2030-044-03,F2030-044,ECU-23,ECU,gol,53,Gol en jugada
EV-F2030-044-01,F2030-044,CHL-05,CHL,gol,77,Gol en jugada
EV-F2030-044-04,F2030-044,CHL-19,CHL,tarjeta_amarilla,78,Infracción táctica
EV-F2030-044-02,F2030-044,ECU-14,ECU,penal_convertido,83,Gol de penal
EV-F2030-045-01,F2030-045,SRB-09,SRB,gol,16,Gol en jugada
EV-F2030-045-05,F2030-045,PER-03,PER,tarjeta_amarilla,37,Infracción táctica
EV-F2030-045-04,F2030-045,PER-11,PER,tarjeta_amarilla,42,Infracción táctica
EV-F2030-045-03,F2030-045,PER-08,PER,tarjeta_amarilla,53,Infracción táctica
EV-F2030-045-02,F2030-045,SRB-24,SRB,tarjeta_amarilla,54,Infracción táctica
EV-F2030-046-04,F2030-046,CAN-15,CAN,gol,10,Gol en jugada
EV-F2030-046-02,F2030-046,CAN-06,CAN,penal_convertido,29,Gol de penal
EV-F2030-046-03,F2030-046,CAN-06,CAN,gol,35,Gol en jugada
EV-F2030-046-05,F2030-046,CAN-09,CAN,tarjeta_amarilla,43,Infracción táctica
EV-F2030-046-01,F2030-046,CAN-08,CAN,gol,72,Gol en jugada
EV-F2030-047-06,F2030-047,PAN-13,PAN,tarjeta_amarilla,8,Infracción táctica
EV-F2030-047-01,F2030-047,CRC-03,CRC,gol,18,Gol en jugada
EV-F2030-047-05,F2030-047,CRC-03,CRC,tarjeta_amarilla,32,Infracción táctica
EV-F2030-047-04,F2030-047,CRC-01,CRC,tarjeta_amarilla,61,Infracción táctica
EV-F2030-047-02,F2030-047,PAN-20,PAN,gol,62,Gol en jugada
EV-F2030-047-03,F2030-047,CRC-14,CRC,tarjeta_amarilla,63,Infracción táctica
EV-F2030-048-02,F2030-048,URU-05,URU,gol,11,Gol en jugada
EV-F2030-048-01,F2030-048,ARG-13,ARG,gol,28,Gol en jugada
EV-F2030-048-03,F2030-048,ARG-02,ARG,tarjeta_amarilla,63,Infracción táctica
EV-F2030-048-04,F2030-048,ARG-04,ARG,tarjeta_amarilla,86,Infracción táctica
EV-F2030-049-03,F2030-049,TUN-11,TUN,gol,6,Gol en jugada
EV-F2030-049-05,F2030-049,GHA-15,GHA,tarjeta_amarilla,20,Infracción táctica
EV-F2030-049-04,F2030-049,TUN-03,TUN,gol,23,Gol en jugada
EV-F2030-049-06,F2030-049,TUN-11,TUN,tarjeta_amarilla,32,Infracción táctica
EV-F2030-049-01,F2030-049,GHA-18,GHA,gol,37,Gol en jugada
EV-F2030-049-07,F2030-049,TUN-10,TUN,tarjeta_amarilla,63,Infracción táctica
EV-F2030-049-02,F2030-049,TUN-03,TUN,gol,78,Gol en jugada
EV-F2030-050-02,F2030-050,NGA-14,NGA,gol,28,Gol en jugada
EV-F2030-050-03,F2030-050,NGA-13,NGA,gol,28,Gol en jugada
EV-F2030-050-04,F2030-050,NGA-19,NGA,tarjeta_amarilla,29,Infracción táctica
EV-F2030-050-05,F2030-050,NGA-24,NGA,tarjeta_amarilla,30,Infracción táctica
EV-F2030-050-01,F2030-050,NGA-19,NGA,gol,79,Gol en jugada
EV-F2030-051-05,F2030-051,CIV-09,CIV,tarjeta_amarilla,2,Infracción táctica
EV-F2030-051-03,F2030-051,RSA-10,RSA,penal_convertido,5,Gol de penal
EV-F2030-051-01,F2030-051,CIV-22,CIV,gol,10,Gol en jugada
EV-F2030-051-06,F2030-051,RSA-23,RSA,tarjeta_amarilla,55,Infracción táctica
EV-F2030-051-02,F2030-051,CIV-08,CIV,gol,71,Gol en jugada
EV-F2030-051-04,F2030-051,CIV-09,CIV,tarjeta_amarilla,84,Infracción táctica
EV-F2030-052-04,F2030-052,CMR-02,CMR,tarjeta_roja,27,Expulsión
EV-F2030-052-03,F2030-052,ALG-18,ALG,gol,37,Gol en jugada
EV-F2030-052-02,F2030-052,CMR-15,CMR,gol,39,Gol en jugada
EV-F2030-052-05,F2030-052,CMR-13,CMR,tarjeta_amarilla,39,Infracción táctica
EV-F2030-052-06,F2030-052,CMR-03,CMR,tarjeta_amarilla,42,Infracción táctica
EV-F2030-052-01,F2030-052,CMR-01,CMR,gol,53,Gol en jugada
EV-F2030-053-02,F2030-053,IRN-07,IRN,gol,31,Gol en jugada
EV-F2030-053-03,F2030-053,QAT-12,QAT,tarjeta_amarilla,45,Infracción táctica
EV-F2030-053-01,F2030-053,IRN-13,IRN,gol,46,Gol en jugada
EV-F2030-053-04,F2030-053,QAT-06,QAT,tarjeta_amarilla,70,Infracción táctica
EV-F2030-054-06,F2030-054,AUS-24,AUS,tarjeta_amarilla,14,Infracción táctica
EV-F2030-054-02,F2030-054,AUS-24,AUS,gol,33,Gol en jugada
EV-F2030-054-05,F2030-054,KSA-19,KSA,tarjeta_amarilla,38,Infracción táctica
EV-F2030-054-07,F2030-054,AUS-20,AUS,tarjeta_amarilla,54,Infracción táctica
EV-F2030-054-01,F2030-054,KSA-04,KSA,gol,73,Gol en jugada
EV-F2030-054-04,F2030-054,KSA-18,KSA,tarjeta_amarilla,74,Infracción táctica
EV-F2030-054-03,F2030-054,KSA-13,KSA,tarjeta_amarilla,90,Infracción táctica
EV-F2030-055-06,F2030-055,IRQ-13,IRQ,tarjeta_amarilla,2,Infracción táctica
EV-F2030-055-05,F2030-055,IRQ-13,IRQ,tarjeta_amarilla,8,Infracción táctica
