partidoId,seleccionId,rol,goles,golesRecibidos,resultado
F2030-024,UZB,visitante,1,1,empate
F2030-025,SWE,local,3,1,victoria
F2030-025,NOR,visitante,1,3,derrota
F2030-026,UKR,local,1,1,empate
F2030-026,CZE,visitante,1,1,empate
F2030-027,HUN,local,4,2,victoria
F2030-027,ROU,visitante,2,4,derrota
F2030-028,SCO,local,0,1,derrota
F2030-028,WAL,visitante,1,0,victoria
F2030-029,BOL,local,1,0,victoria
F2030-029,HON,visitante,0,1,derrota
F2030-030,TUR,local,1,1,empate
F2030-030,VEN,visitante,1,1,empate
F2030-031,HAI,local,0,2,derrota
F2030-031,CIW,visitante,2,0,victoria
F2030-032,IND,local,1,2,derrota
F2030-032,VIE,visitante,2,1,victoria
F2030-033,ESP,local,4,1,victoria
F2030-033,PAR,visitante,1,4,derrota
F2030-034,BRA,local,0,2,derrota
F2030-034,MAR,visitante,2,0,victoria
F2030-035,FRA,local,1,5,derrota
F2030-035,POR,visitante,5,1,victoria
F2030-036,ENG,local,0,3,derrota
F2030-036,GER,visitante,3,0,victoria
F2030-037,NED,local,3,3,empate
F2030-037,ITA,visitante,3,3,empate
F2030-038,BEL,local,2,3,derrota
F2030-038,COL,visitante,3,2,victoria
F2030-039,CRO,local,0,1,derrota
F2030-039,USA,visitante,1,0,victoria
F2030-040,JPN,local,2,1,victoria
F2030-040,SEN,visitante,1,2,derrota
F2030-041,MEX,local,2,2,empate
F2030-041,KOR,visitante,2,2,empate
F2030-042,DEN,local,3,4,derrota
F2030-042,POL,visitante,4,3,victoria
F2030-043,SUI,local,1,0,victoria
F2030-043,AUT,visitante,0,1,derrota
F2030-044,CHL,local,1,2,derrota
F2030-044,ECU,visitante,2,1,victoria
F2030-045,SRB,local,1,0,victoria
F2030-045,PER,visitante,0,1,derrota
F2030-046,CAN,local,4,0,victoria
F2030-046,JAM,visitante,0,4,derrota
F2030-047,CRC,local,1,1,empate
F2030-047,PAN,visitante,1,1,empate
F2030-048,ARG,local,1,1,empate
F2030-048,URU,visitante,1,1,empate
F2030-049,GHA,local,1,3,derrota
F2030-049,TUN,visitante,3,1,victoria
F2030-050,NGA,local,3,0,victoria
F2030-050,EGY,visitante,0,3,derrota
F2030-051,CIV,local,2,1,victoria
F2030-051,RSA,visitante,1,2,derrota
F2030-052,CMR,local,2,1,victoria
F2030-052,ALG,visitante,1,2,derrota
F2030-053,IRN,local,2,0,victoria
F2030-053,QAT,visitante,0,2,derrota
F2030-054,KSA,local,1,1,empate
F2030-054,AUS,visitante,1,1,empate
F2030-055,IRQ,local,2,1,victoria
F2030-055,CHN,visitante,1,2,derrota
F2030-056,UZB,local,0,1,derrota
F2030-056,NZL,visitante,1,0,victoria
F2030-057,NOR,local,2,2,empate
F2030-057,CZE,visitante,2,2,empate
F2030-058,SWE,local,2,1,victoria
F2030-058,UKR,visitante,1,2,derrota
F2030-059,SCO,local,3,0,victoria
F2030-059,HUN,visitante,0,3,derrota
F2030-060,WAL,local,1,0,victoria
F2030-060,ROU,visitante,0,1,derrota
F2030-061,TUR,local,1,4,derrota
F2030-061,BOL,visitante,4,1,victoria
F2030-062,VEN,local,0,1,derrota
F2030-062,HON,visitante,1,0,victoria
F2030-063,HAI,local,0,1,derrota
F2030-063,IND,visitante,1,0,victoria
F2030-064,CIW,local,4,0,victoria
F2030-064,VIE,visitante,0,4,derrota
F2030-065,ARG,local,1,2,derrota
F2030-065,PAR,visitante,2,1,victoria
F2030-066,ESP,local,3,2,victoria
F2030-066,URU,visitante,2,3,derrota
F2030-067,BRA,local,5,0,victoria
F2030-067,POR,visitante,0,5,derrota
F2030-068,FRA,local,0,2,derrota
F2030-068,MAR,visitante,2,0,victoria
F2030-069,ENG,local,1,3,derrota
F2030-069,ITA,visitante,3,1,victoria
F2030-070,NED,local,5,3,victoria
F2030-070,GER,visitante,3,5,derrota
F2030-071,BEL,local,2,2,empate
F2030-071,USA,visitante,2,2,empate
F2030-072,CRO,local,4,0,victoria
F2030-072,COL,visitante,0,4,derrota
F2030-073,JPN,local,1,1,empate
F2030-073,KOR,visitante,1,1,empate
F2030-074,MEX,local,3,1,victoria
F2030-074,SEN,visitante,1,3,derrota
F2030-075,DEN,local,2,2,empate
F2030-075,AUT,visitante,2,2,empate
F2030-076,SUI,local,3,0,victoria
F2030-076,POL,visitante,0,3,derrota
F2030-077,CHL,local,1,2,derrota
F2030-077,PER,visitante,2,1,victoria
F2030-078,SRB,local,2,0,victoria
F2030-078,ECU,visitante,0,2,derrota
F2030-079,CAN,local,1,0,victoria
F2030-079,PAN,visitante,0,1,derrota
F2030-080,CRC,local,0,1,derrota
F2030-080,JAM,visitante,1,0,victoria
F2030-081,GHA,local,2,2,empate
F2030-081,EGY,visitante,2,2,empate
F2030-082,NGA,local,0,1,derrota
F2030-082,TUN,visitante,1,0,victoria
F2030-083,CIV,local,2,0,victoria
F2030-083,ALG,visitante,0,2,derrota
F2030-084,CMR,local,2,2,empate
F2030-084,RSA,visitante,2,2,empate
F2030-085,IRN,local,1,1,empate
F2030-085,AUS,visitante,1,1,empate
F2030-086,KSA,local,0,0,empate
F2030-086,QAT,visitante,0,0,empate
F2030-087,IRQ,local,5,1,victoria
F2030-087,NZL,visitante,1,5,derrota
F2030-088,UZB,local,2,1,victoria
F2030-088,CHN,visitante,1,2,derrota
F2030-089,NOR,local,3,0,victoria
F2030-089,UKR,visitante,0,3,derrota
F2030-090,SWE,local,3,0,victoria
F2030-090,CZE,visitante,0,3,derrota
F2030-091,SCO,local,0,0,empate
F2030-091,ROU,visitante,0,0,empate
F2030-092,WAL,local,0,0,empate
F2030-092,HUN,visitante,0,0,empate
F2030-093,TUR,local,0,0,empate
F2030-093,HON,visitante,0,0,empate
F2030-094,VEN,local,0,1,derrota
F2030-094,BOL,visitante,1,0,victoria
F2030-095,CIW,local,1,0,victoria
F2030-095,IND,visitante,0,1,derrota
F2030-096,HAI,local,0,0,empate
F2030-096,VIE,visitante,0,0,empate
F2030-097,ESP,local,2,0,victoria
F2030-097,POR,visitante,0,2,derrota
F2030-098,MEX,local,0,2,derrota
F2030-098,POL,visitante,2,0,victoria
F2030-099,TUN,local,0,0,derrota_penales
F2030-099,CIV,visitante,0,0,victoria_penales
F2030-100,SWE,local,1,1,victoria_penales
F2030-100,SCO,visitante,1,1,derrota_penales
F2030-101,MAR,local,1,1,victoria_penales
F2030-101,ITA,visitante,1,1,derrota_penales
F2030-102,SUI,local,4,1,victoria
F2030-102,ECU,visitante,1,4,derrota
F2030-103,CMR,local,4,1,victoria
F2030-103,AUS,visitante,1,4,derrota
F2030-104,WAL,local,3,3,derrota_penales
F2030-104,HON,visitante,3,3,victoria_penales
F2030-105,GER,local,4,2,victoria
F2030-105,BEL,visitante,2,4,derrota
F2030-106,SRB,local,0,2,derrota
F2030-106,JAM,visitante,2,0,victoria
F2030-107,KSA,local,0,2,derrota
F2030-107,NZL,visitante,2,0,victoria
F2030-108,BOL,local,2,1,victoria
F2030-108,VIE,visitante,1,2,derrota
F2030-109,COL,local,1,1,derrota_penales
F2030-109,JPN,visitante,1,1,victoria_penales
F2030-110,CAN,local,3,3,derrota_penales
F2030-110,NGA,visitante,3,3,victoria_penales
F2030-111,IRQ,local,1,2,derrota
F2030-111,NOR,visitante,2,1,victoria
F2030-112,CIW,local,0,2,derrota
F2030-112,URU,visitante,2,0,victoria
F2030-113,ESP,local,2,1,victoria
F2030-113,MAR,visitante,1,2,derrota
F2030-114,POL,local,0,0,derrota_penales
F2030-114,SUI,visitante,0,0,victoria_penales
F2030-115,CIV,local,1,0,victoria
F2030-115,CMR,visitante,0,1,derrota
F2030-116,SWE,local,2,0,victoria
F2030-116,HON,visitante,0,2,derrota
F2030-117,GER,local,2,1,victoria
F2030-117,JPN,visitante,1,2,derrota
F2030-118,JAM,local,2,1,victoria
F2030-118,NGA,visitante,1,2,derrota
F2030-119,NZL,local,4,0,victoria
F2030-119,NOR,visitante,0,4,derrota
F2030-120,BOL,local,0,2,derrota
F2030-120,URU,visitante,2,0,victoria
F2030-121,ESP,local,2,3,derrota
F2030-121,GER,visitante,3,2,victoria
F2030-122,CIV,local,1,1,victoria_penales
F2030-122,NZL,visitante,1,1,derrota_penales
F2030-123,SUI,local,2,0,victoria
F2030-123,JAM,visitante,0,2,derrota
F2030-124,SWE,local,2,5,derrota
F2030-124,URU,visitante,5,2,victoria
F2030-125,GER,local,4,0,victoria
F2030-125,SUI,visitante,0,4,derrota
F2030-126,CIV,local,0,1,derrota
F2030-126,URU,visitante,1,0,victoria
F2030-127,SUI,local,4,2,victoria
F2030-127,CIV,visitante,2,4,derrota
F2030-128,GER,local,0,2,derrota
F2030-128,URU,visitante,2,0,victoria
