partidoId,fecha,hora,fase,ordenFase,jornada,grupo,estadioId,estado,golesLocal,golesVisitante,definidoPor,penalesLocal,penalesVisitante
F2030-026,2030-06-14,16:00,GRUPOS,1,1,M,OPO-DRA,finalizado,1,1,tiempo_reglamentario,,
F2030-027,2030-06-14,16:00,GRUPOS,1,1,N,RAB-MAB,finalizado,4,2,tiempo_reglamentario,,
F2030-028,2030-06-14,16:00,GRUPOS,1,1,N,CAS-HII,finalizado,0,1,tiempo_reglamentario,,
F2030-029,2030-06-14,16:00,GRUPOS,1,1,O,TAN-IBN,finalizado,1,0,tiempo_reglamentario,,
F2030-030,2030-06-14,16:00,GRUPOS,1,1,O,MRK-MAR,finalizado,1,1,tiempo_reglamentario,,
F2030-031,2030-06-14,16:00,GRUPOS,1,1,P,AGA-ADR,finalizado,0,2,tiempo_reglamentario,,
F2030-032,2030-06-14,16:00,GRUPOS,1,1,P,FEZ-FEZ,finalizado,1,2,tiempo_reglamentario,,
F2030-033,2030-06-19,13:00,GRUPOS,1,2,A,MAD-BER,finalizado,4,1,tiempo_reglamentario,,
F2030-034,2030-06-19,13:00,GRUPOS,1,2,B,BCN-CAM,finalizado,0,2,tiempo_reglamentario,,
F2030-035,2030-06-19,13:00,GRUPOS,1,2,B,MAD-MET,finalizado,1,5,tiempo_reglamentario,,
F2030-036,2030-06-19,13:00,GRUPOS,1,2,C,SEV-CAR,finalizado,0,3,tiempo_reglamentario,,
F2030-037,2030-06-19,13:00,GRUPOS,1,2,C,BIO-SMA,finalizado,3,3,tiempo_reglamentario,,
F2030-038,2030-06-19,13:00,GRUPOS,1,2,D,VAL-MES,finalizado,2,3,tiempo_reglamentario,,
F2030-039,2030-06-19,13:00,GRUPOS,1,2,D,LIS-LUZ,finalizado,0,1,tiempo_reglamentario,,
F2030-040,2030-06-19,13:00,GRUPOS,1,2,E,OPO-DRA,finalizado,2,1,tiempo_reglamentario,,
F2030-041,2030-06-19,13:00,GRUPOS,1,2,E,LIS-ALV,finalizado,2,2,tiempo_reglamentario,,
F2030-042,2030-06-19,13:00,GRUPOS,1,2,F,RAB-MAB,finalizado,3,4,tiempo_reglamentario,,
F2030-043,2030-06-19,13:00,GRUPOS,1,2,F,CAS-HII,finalizado,1,0,tiempo_reglamentario,,
F2030-044,2030-06-19,13:00,GRUPOS,1,2,G,TAN-IBN,finalizado,1,2,tiempo_reglamentario,,
F2030-045,2030-06-19,13:00,GRUPOS,1,2,G,MRK-MAR,finalizado,1,0,tiempo_reglamentario,,
F2030-046,2030-06-19,13:00,GRUPOS,1,2,H,AGA-ADR,finalizado,4,0,tiempo_reglamentario,,
F2030-047,2030-06-19,13:00,GRUPOS,1,2,H,FEZ-FEZ,finalizado,1,1,tiempo_reglamentario,,
F2030-048,2030-06-19,16:00,GRUPOS,1,2,A,MVD-CEN,finalizado,1,1,tiempo_reglamentario,,
F2030-049,2030-06-19,16:00,GRUPOS,1,2,I,MAD-MET,finalizado,1,3,tiempo_reglamentario,,
F2030-050,2030-06-19,16:00,GRUPOS,1,2,I,MAD-BER,finalizado,3,0,tiempo_reglamentario,,
F2030-051,2030-06-19,16:00,GRUPOS,1,2,J,SEV-CAR,finalizado,2,1,tiempo_reglamentario,,
F2030-052,2030-06-19,16:00,GRUPOS,1,2,J,BCN-CAM,finalizado,2,1,tiempo_reglamentario,,
F2030-053,2030-06-19,16:00,GRUPOS,1,2,K,VAL-MES,finalizado,2,0,tiempo_reglamentario,,
F2030-054,2030-06-19,16:00,GRUPOS,1,2,K,BIO-SMA,finalizado,1,1,tiempo_reglamentario,,
F2030-055,2030-06-19,16:00,GRUPOS,1,2,L,LIS-LUZ,finalizado,2,1,tiempo_reglamentario,,
F2030-056,2030-06-19,16:00,GRUPOS,1,2,L,LIS-ALV,finalizado,0,1,tiempo_reglamentario,,
F2030-057,2030-06-19,16:00,GRUPOS,1,2,M,CAS-HII,finalizado,2,2,tiempo_reglamentario,,
F2030-058,2030-06-19,16:00,GRUPOS,1,2,M,OPO-DRA,finalizado,2,1,tiempo_reglamentario,,
F2030-059,2030-06-19,16:00,GRUPOS,1,2,N,RAB-MAB,finalizado,3,0,tiempo_reglamentario,,
F2030-060,2030-06-19,16:00,GRUPOS,1,2,N,MRK-MAR,finalizado,1,0,tiempo_reglamentario,,
F2030-061,2030-06-19,16:00,GRUPOS,1,2,O,TAN-IBN,finalizado,1,4,tiempo_reglamentario,,
F2030-062,2030-06-19,16:00,GRUPOS,1,2,O,AGA-ADR,finalizado,0,1,tiempo_reglamentario,,
F2030-063,2030-06-19,16:00,GRUPOS,1,2,P,FEZ-FEZ,finalizado,0,1,tiempo_reglamentario,,
F2030-064,2030-06-19,19:00,GRUPOS,1,2,P,MAD-BER,finalizado,4,0,tiempo_reglamentario,,
F2030-065,2030-06-24,13:00,GRUPOS,1,3,A,MAD-MET,finalizado,1,2,tiempo_reglamentario,,
F2030-066,2030-06-24,13:00,GRUPOS,1,3,A,BCN-CAM,finalizado,3,2,tiempo_reglamentario,,
F2030-067,2030-06-24,13:00,GRUPOS,1,3,B,BIO-SMA,finalizado,5,0,tiempo_reglamentario,,
F2030-068,2030-06-24,13:00,GRUPOS,1,3,B,SEV-CAR,finalizado,0,2,tiempo_reglamentario,,
F2030-069,2030-06-24,13:00,GRUPOS,1,3,C,VAL-MES,finalizado,1,3,tiempo_reglamentario,,
F2030-070,2030-06-24,13:00,GRUPOS,1,3,C,LIS-LUZ,finalizado,5,3,tiempo_reglamentario,,
F2030-071,2030-06-24,13:00,GRUPOS,1,3,D,LIS-ALV,finalizado,2,2,tiempo_reglamentario,,
F2030-072,2030-06-24,13:00,GRUPOS,1,3,D,OPO-DRA,finalizado,4,0,tiempo_reglamentario,,
F2030-073,2030-06-24,13:00,GRUPOS,1,3,E,RAB-MAB,finalizado,1,1,tiempo_reglamentario,,
F2030-074,2030-06-24,13:00,GRUPOS,1,3,E,CAS-HII,finalizado,3,1,tiempo_reglamentario,,
F2030-075,2030-06-24,13:00,GRUPOS,1,3,F,TAN-IBN,finalizado,2,2,tiempo_reglamentario,,
F2030-076,2030-06-24,13:00,GRUPOS,1,3,F,MRK-MAR,finalizado,3,0,tiempo_reglamentario,,
F2030-077,2030-06-24,13:00,GRUPOS,1,3,G,FEZ-FEZ,finalizado,1,2,tiempo_reglamentario,,
F2030-078,2030-06-24,13:00,GRUPOS,1,3,G,AGA-ADR,finalizado,2,0,tiempo_reglamentario,,
F2030-079,2030-06-24,13:00,GRUPOS,1,3,H,MAD-BER,finalizado,1,0,tiempo_reglamentario,,
F2030-080,2030-06-24,16:00,GRUPOS,1,3,H,MAD-MET,finalizado,0,1,tiempo_reglamentario,,
F2030-081,2030-06-24,16:00,GRUPOS,1,3,I,SEV-CAR,finalizado,2,2,tiempo_reglamentario,,
F2030-082,2030-06-24,16:00,GRUPOS,1,3,I,BCN-CAM,finalizado,0,1,tiempo_reglamentario,,
F2030-083,2030-06-24,16:00,GRUPOS,1,3,J,VAL-MES,finalizado,2,0,tiempo_reglamentario,,
F2030-084,2030-06-24,16:00,GRUPOS,1,3,J,BIO-SMA,finalizado,2,2,tiempo_reglamentario,,
F2030-085,2030-06-24,16:00,GRUPOS,1,3,K,LIS-ALV,finalizado,1,1,tiempo_reglamentario,,
F2030-086,2030-06-24,16:00,GRUPOS,1,3,K,LIS-LUZ,finalizado,0,0,tiempo_reglamentario,,
F2030-087,2030-06-24,16:00,GRUPOS,1,3,L,OPO-DRA,finalizado,5,1,tiempo_reglamentario,,
F2030-088,2030-06-24,16:00,GRUPOS,1,3,L,CAS-HII,finalizado,2,1,tiempo_reglamentario,,
F2030-089,2030-06-24,16:00,GRUPOS,1,3,M,MRK-MAR,finalizado,3,0,tiempo_reglamentario,,
F2030-090,2030-06-24,16:00,GRUPOS,1,3,M,RAB-MAB,finalizado,3,0,tiempo_reglamentario,,
F2030-091,2030-06-24,16:00,GRUPOS,1,3,N,TAN-IBN,finalizado,0,0,tiempo_reglamentario,,
F2030-092,2030-06-24,16:00,GRUPOS,1,3,N,AGA-ADR,finalizado,0,0,tiempo_reglamentario,,
F2030-093,2030-06-24,16:00,GRUPOS,1,3,O,FEZ-FEZ,finalizado,0,0,tiempo_reglamentario,,
F2030-094,2030-06-24,16:00,GRUPOS,1,3,O,MAD-BER,finalizado,0,1,tiempo_reglamentario,,
F2030-095,2030-06-24,19:00,GRUPOS,1,3,P,BCN-CAM,finalizado,1,0,tiempo_reglamentario,,
F2030-096,2030-06-24,19:00,GRUPOS,1,3,P,MAD-MET,finalizado,0,0,tiempo_reglamentario,,
F2030-097,2030-06-29,13:00,DIECISEIS,2,,,MAD-BER,finalizado,2,0,tiempo_reglamentario,,
F2030-098,2030-06-29,16:00,DIECISEIS,2,,,MAD-MET,finalizado,0,2,tiempo_reglamentario,,
F2030-099,2030-06-29,19:00,DIECISEIS,2,,,BCN-CAM,finalizado,0,0,penales,2,5
F2030-100,2030-06-29,22:00,DIECISEIS,2,,,SEV-CAR,finalizado,1,1,penales,5,2
F2030-101,2030-06-30,13:00,DIECISEIS,2,,,BIO-SMA,finalizado,1,1,penales,5,3
F2030-102,2030-06-30,16:00,DIECISEIS,2,,,VAL-MES,finalizado,4,1,tiempo_reglamentario,,
F2030-103,2030-06-30,19:00,DIECISEIS,2,,,LIS-LUZ,finalizado,4,1,tiempo_reglamentario,,
F2030-104,2030-06-30,22:00,DIECISEIS,2,,,LIS-ALV,finalizado,3,3,penales,3,5
F2030-105,2030-07-01,13:00,DIECISEIS,2,,,OPO-DRA,finalizado,4,2,tiempo_reglamentario,,
F2030-106,2030-07-01,16:00,DIECISEIS,2,,,CAS-HII,finalizado,0,2,tiempo_reglamentario,,
F2030-107,2030-07-01,19:00,DIECISEIS,2,,,RAB-MAB,finalizado,0,2,tiempo_reglamentario,,
F2030-108,2030-07-01,22:00,DIECISEIS,2,,,MRK-MAR,finalizado,2,1,tiempo_reglamentario,,
F2030-109,2030-07-02,13:00,DIECISEIS,2,,,TAN-IBN,finalizado,1,1,penales,4,5
F2030-110,2030-07-02,16:00,DIECISEIS,2,,,AGA-ADR,finalizado,3,3,penales,2,5
F2030-111,2030-07-02,19:00,DIECISEIS,2,,,FEZ-FEZ,finalizado,1,2,tiempo_reglamentario,,
F2030-112,2030-07-02,22:00,DIECISEIS,2,,,MAD-BER,finalizado,0,2,tiempo_reglamentario,,
F2030-113,2030-07-04,13:00,OCTAVOS,3,,,MAD-MET,finalizado,2,1,tiempo_reglamentario,,
F2030-114,2030-07-04,16:00,OCTAVOS,3,,,CAS-HII,finalizado,0,0,penales,4,5
F2030-115,2030-07-04,19:00,OCTAVOS,3,,,BCN-CAM,finalizado,1,0,tiempo_reglamentario,,
F2030-116,2030-07-04,22:00,OCTAVOS,3,,,RAB-MAB,finalizado,2,0,tiempo_reglamentario,,
F2030-117,2030-07-05,13:00,OCTAVOS,3,,,VAL-MES,finalizado,2,1,tiempo_reglamentario,,
F2030-118,2030-07-05,16:00,OCTAVOS,3,,,AGA-ADR,finalizado,2,1,tiempo_reglamentario,,
F2030-119,2030-07-05,19:00,OCTAVOS,3,,,LIS-LUZ,finalizado,4,0,tiempo_reglamentario,,
F2030-120,2030-07-05,22:00,OCTAVOS,3,,,FEZ-FEZ,finalizado,0,2,tiempo_reglamentario,,
F2030-121,2030-07-08,13:00,CUARTOS,4,,,CAS-HII,finalizado,2,3,tiempo_reglamentario,,
F2030-122,2030-07-08,16:00,CUARTOS,4,,,BCN-CAM,finalizado,1,1,penales,5,2
F2030-123,2030-07-09,13:00,CUARTOS,4,,,AGA-ADR,finalizado,2,0,tiempo_reglamentario,,
F2030-124,2030-07-09,16:00,CUARTOS,4,,,LIS-LUZ,finalizado,2,5,tiempo_reglamentario,,
F2030-125,2030-07-12,13:00,SEMIS,5,,,BCN-CAM,finalizado,4,0,tiempo_reglamentario,,
F2030-126,2030-07-13,13:00,SEMIS,5,,,LIS-LUZ,finalizado,0,1,tiempo_reglamentario,,
F2030-127,2030-07-16,13:00,TERCERO,6,,,CAS-HII,finalizado,4,2,tiempo_reglamentario,,
F2030-128,2030-07-17,13:00,FINAL,7,,,MAD-BER,finalizado,0,2,tiempo_reglamentario,,
